getpid                                     0x188cde178
mmap                                       0x188cde96c
mach_vm_region                             0x188ce2824
fork                                       0x188bd31a0
pthread_self                               0x188d1d590
pthread_create                             0x188d1e768
pthread_kill                               0x188d217b0
sysctl                                     0x188bb5944
sysctlbyname                               0x188bb5b8c
getentropy                                 0x188cde13c
dlsym                                      0x188910c04
dlopen                                     0x188910b30
sys_icache_invalidate                      0x188d2c654
pthread_jit_write_protect_np               0x188d22a1c
pthread_jit_write_protect_supported_np     0x188d22c28
sysctlnametomib                            0x188be0bc4
pthread_join                               0x188d2163c
pthread_sigmask                            0x188d21078
pthread_setname_np                         0x188d1e8f4
pthread_exit                               0x188d1f3d8
munmap                                     0x188ce16b8
mprotect                                   0x188ce1afc
openat                                     0x188cfa18c
close                                      0x188cde8e8
write                                      0x188ce182c
read                                       0x188cde914
sigaction                                  0x188bd065c
pselect                                    0x188cf885c
sigaltstack                                0x188be4298
getrlimit                                  0x188ce00b8
setrlimit                                  0x188ce0a00
sem_open                                   0x188ceaa10
sem_unlink                                 0x188cecd80
sem_close                                  0x188ce7750
sem_post                                   0x188cecd28
sem_wait                                   0x188cecdac
sem_trywait                                0x188cecd54
raise                                      0x188bf0ff4
pthread_attr_init                          0x188d1d770
pthread_attr_destroy                       0x188d1fae8
pthread_attr_setstacksize                  0x188d1fa78
pthread_attr_setguardsize                  0x188d22790
clock_gettime                              0x188bbed24
nanosleep                                  0x188bbdbe4
pipe                                       0x188ce43e0
pthread_cpu_number_np                      0x188d229ec
dlclose                                    0x188911488
dlerror                                    0x1889119c8
pthread_yield_np                           0x188d1ec04
dispatch_semaphore_create                  0x188b6896c
dispatch_semaphore_signal                  0x188b68a60
dispatch_semaphore_wait                    0x188b68a7c
dispatch_walltime                          0x188b99890
pthread_stack_min                          0x0
mmap                                       0x188cde96c
